the_geom,OBJECTID,X,Y,PLACEID,YEARPLACEID,CITY,STATE,CITYSTATE,YEAR,ASOFDATE,DOCKID,STATIONCT_BIN,DOCKNM,DOCKLESSCT,DOCKLESS_BIN,DOCKLESSNM,SCOOTERCT,SCOOTER_BIN,SCOOTERNM,TYPE,LAT,LON,GEOID,NOTESDOCK,NOTESDOCKLESS,NOTESSCOOTER,DATEDOCKEDLAUNCH,DATEDOCKEDEND,DATESCOOTERLAUNCH,DATESCOOTEREND,DATEDOCKLESSLAUNCH,DATEDOCKLESSEND,DOCKCT,DOCKCT_JUL,STATIONCT_PCT,DOCKNM_JUL,DOCKNM_CAMPUSONLY,DOCKLESSCT_JUL,DOCKLESSNM_JUL,DOCKLESSNM_CAMPUSONLY,SCOOTERCT_JUL,SCOOTERNM_JUL,SCOOTERNM_CAMPUSONLY
POINT (-71.412829999941 41.82389999996),1068,-71.41283,41.8239,RI00183,2021RI00183,Providence,RI,"Providence, RI",2021,202112,,0,,2,2,"Spin (e-bike), Spin",1,1,Spin,Dockless and e-scooters,41.8239,-71.41283,44007,,,,,,Jun-20 (Spin),,"Jun-21 (Spin (e-bike)), Jun-21 (Spin)",,0,0,,,,2,"Spin (e-bike), Spin",,1,Spin,
POINT (-73.982660811791 40.768721999782),583,-73.98266081,40.768722,NY00160,2021NY00160,New York,NY,"New York, NY",2021,202112,3,4,Citi Bike,0,0,,0,0,,Docked only,40.768722,-73.98266081,36061,Acquired by Lyft 07/2018 (Citi Bike),,,Sep-15 (Citi Bike),,,,,,1566,1566,21.01449275,Citi Bike,,0,,,0,,
POINT (-122.330059999905 47.603799999883),1118,-122.33006,47.6038,WA00225,2022WA00225,Seattle,WA,"Seattle, WA",2022,202212,,0,,2,2,"Jump (acquired by Lime 05/2020), Veo",4,4,"Lime, LINK, Wheels (acquired by Helbiz 11/2022), Spin",Dockless and e-scooters,47.6038,-122.33006,53033,,,Acquired by Helbiz Nov-2022 (Wheels (acquired by Helbiz 11/2022)),,,"Sep-20 (Lime), Nov-20 (LINK), Nov-20 (Wheels (acquired by Helbiz 11/2022)), Jul-21 (Spin)","Nov-22 (Wheels (acquired by Helbiz 11/2022)), May-22 (Spin)","Nov-18 (Jump (acquired by Lime 05/2020)), Dec-21 (Veo)",,0,0,,,,2,"Jump (acquired by Lime 05/2020), Veo",,3,"Lime, LINK, Wheels (acquired by Helbiz 11/2022)",
POINT (-92.46300999988 44.02340000004),1153,-92.46301,44.0234,MN00134,2023MN00134,Rochester,MN,"Rochester, MN",2023,202312,,0,,1,1,Lime,1,1,Lime,Dockless and e-scooters,44.0234,-92.46301,27109,,,Paused during COVID-19; launched in June-2020 (Lime),,,Aug-19 (Lime),,Jun-20 (Lime),,0,0,,,,1,Lime,,1,Lime,
POINT (-71.801880000002 42.262500000017),867,-71.80188,42.2625,MA00115,2018MA00115,Worcester,MA,"Worcester, MA",2018,201812,,0,,1,1,Ofo,0,0,,Dockless only,42.2625,-71.80188,25027,,,,,,,,Sep-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-73.260009999909 42.451299999947),1585,-73.26001,42.4513,MN00137,2023MN00137,Pittsfield,MA,"Pittsfield, MA",2023,202312,,0,,0,0,,1,1,Bird,E-scooters only,42.4513,-73.26001,25003,,,,,,Apr-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-77.615209999883 43.157199999992),1110,-77.61521,43.1572,NY00161,2022NY00161,Rochester,NY,"Rochester, NY",2022,202212,,0,,1,1,HOPR,1,1,HOPR,Dockless and e-scooters,43.1572,-77.61521,36055,,,,,,Jun-21 (HOPR),Jan-22 (HOPR),Jun-21 (HOPR),Jan-22 (HOPR),0,0,,,,0,,,0,,
POINT (-84.555379999715 42.733699999884),1211,-84.55538,42.7337,MI00129,2019MI00129,Lansing,MI,"Lansing, MI",2019,201912,,0,,0,0,,2,2,"Gotcha, Lime",E-scooters only,42.7337,-84.55538,26065,,,relaunched (Lime),,,"Sep-19 (Gotcha), Sep-19 (Lime)",Dec-20 (Gotcha),,,0,0,,,,0,,,2,"Gotcha, Lime",
POINT (-121.954430000144 37.764800000333),385,-121.95443,37.7648,CA0029,2019CA0029,San Ramon,CA,"San Ramon, CA",2019,201912,75,4,BriteBikes,0,0,,0,0,,Docked only,37.7648,-121.95443,06013,,,,Dec-14 (BriteBikes),Mar-20 (BriteBikes),,,,,17,17,0.24933998,BriteBikes,,0,,,0,,
POINT (-93.320480000145 44.832199999835),1457,-93.32048,44.8322,MN00138,2022MN00138,Bloomington,MN,"Bloomington, MN",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,44.8322,-93.32048,27053,,,,,,Sep-22 (Bird),,,,0,0,,,,0,,,1,Bird,
