the_geom,OBJECTID,X,Y,PLACEID,YEARPLACEID,CITY,STATE,CITYSTATE,YEAR,ASOFDATE,DOCKID,STATIONCT_BIN,DOCKNM,DOCKLESSCT,DOCKLESS_BIN,DOCKLESSNM,SCOOTERCT,SCOOTER_BIN,SCOOTERNM,TYPE,LAT,LON,GEOID,NOTESDOCK,NOTESDOCKLESS,NOTESSCOOTER,DATEDOCKEDLAUNCH,DATEDOCKEDEND,DATESCOOTERLAUNCH,DATESCOOTEREND,DATEDOCKLESSLAUNCH,DATEDOCKLESSEND,DOCKCT,DOCKCT_JUL,STATIONCT_PCT,DOCKNM_JUL,DOCKNM_CAMPUSONLY,DOCKLESSCT_JUL,DOCKLESSNM_JUL,DOCKLESSNM_CAMPUSONLY,SCOOTERCT_JUL,SCOOTERNM_JUL,SCOOTERNM_CAMPUSONLY
POINT (-104.984859999972 39.739199999776),755,-104.98486,39.7392,CO0042,2020CO0042,Denver,CO,"Denver, CO",2020,202012,7,4,Denver B-cycle,2,2,"Jump (acquired by Lime 05/2020), Lime",5,4,"Bird, Lime, Lyft, Razor, Spin",All micro,39.7392,-104.98486,08031,Dock count is from previous year,,,Apr-10 (Denver B-cycle),Jun-20 (Denver B-cycle),"Aug-18 (Bird), Aug-18 (Lime), Sep-18 (Lyft), Oct-18 (Razor), Oct-18 (Spin)","Apr-21 (Bird), Apr-21 (Razor), Apr-21 (Spin)","Sep-18 (Jump (acquired by Lime 05/2020)), Nov-18 (Lime)",,87,0,1.36770948,,,2,"Jump (acquired by Lime 05/2020), Lime",,5,"Bird, Lime, Lyft, Razor, Spin",
POINT (-76.260230000198 36.896800000333),974,-76.26023,36.8968,VA00219,2019VA00219,Norfolk,VA,"Norfolk, VA",2019,201912,,0,,1,1,Pace,1,1,Lime,Dockless and e-scooters,36.8968,-76.26023,51710,,,,,,Jun-19 (Lime),,Jul-18 (Pace),Mar-20 (Pace),0,0,,,,1,Pace,,1,Lime,
POINT (-118.242760000079 34.053600000119),615,-118.24276,34.0536,CA0019,2022CA0019,Los Angeles,CA,"Los Angeles, CA",2022,202212,73,4,Metro Bike Share Los Angeles,2,2,"Lyft (selected areas of LA), Veo",6,4,"Bird, Lime, LINK, Lyft, Spin, Veo",All micro,34.0536,-118.24276,06037,,"West LA, Venice, Brentwood, Marina Del Rey, Mar Vista, Del Ray (Veo)","West LA, Venice, Brentwood, Marina Del Rey, Mar Vista, Del Ray (Veo)",Jul-16 (Metro Bike Share Los Angeles),,"Mar-19 (Bird), Nov-18 (Lime), Aug-21 (LINK), Mar-19 (Lyft), Mar-19 (Spin), Jun-22 (Veo)","Nov-22 (Lyft), Dec-22 (Spin)","Jun-21 (Lyft (selected areas of LA)), Jun-22 (Veo)",Nov-22 (Lyft (selected areas of LA)),219,219,2.58193822,Metro Bike Share Los Angeles,,2,"Lyft (selected areas of LA), Veo",,6,"Bird, Lime, LINK, Lyft, Spin, Veo",
POINT (-111.658529999771 40.233800000209),1271,-111.65853,40.2338,UT002090,2020UT002090,Provo,UT,"Provo, UT",2020,202012,,0,,0,0,,1,1,LINK,E-scooters only,40.2338,-111.65853,49049,,,,,,Jun-20 (LINK),Sep-22 (LINK),,,0,0,,,,0,,,1,LINK,
POINT (-86.77428999957 36.162200000144),251,-86.77429,36.1622,TN00192,2017TN00192,Nashville,TN,"Nashville, TN",2017,201712,21,4,Nashville B-cycle,0,0,,0,0,,Docked only,36.1622,-86.77429,47037,,,,Dec-12 (Nashville B-cycle),,,,,,36,36,0.58708415,Nashville B-cycle,,0,,,0,,
POINT (-80.31059999998 25.729900000151),846,-80.3106,25.7299,FL0062,2018FL0062,South Miami,FL,"South Miami, FL",2018,201812,,0,,1,1,Ofo,0,0,,Dockless only,25.7299,-80.3106,12086,,,,,,,,Nov-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-96.796850000064 32.776199999695),888,-96.79685,32.7762,TX00196,2018TX00196,Dallas,TX,"Dallas, TX",2018,201812,,0,,3,3,"Ofo, Spin, Vbikes",3,3,"Bird, Lime, Razor",Dockless and e-scooters,32.7762,-96.79685,48113,,,,,,"Jun-18 (Bird), Jul-18 (Lime), Oct-18 (Razor)","Sep-20 (Bird), Sep-20 (Lime), Sep-20 (Razor)","Nov-17 (Ofo), Aug-17 (Spin), Jun-17 (Vbikes)","Jul-18 (Ofo), Jul-18 (Spin), Mar-18 (Vbikes)",0,0,,,,2,"Ofo, Spin",,3,"Bird, Lime, Razor",
POINT (-92.125120000276 46.772899999887),1334,-92.12512,46.7729,MN00146,2021MN00146,Duluth,MN,"Duluth, MN",2021,202112,,0,,0,0,,1,1,Bird,E-scooters only,46.7729,-92.12512,27137,,,,,,Jul-19 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-122.419900000328 37.778999999851),4,-122.4199,37.779,CA0026,2015CA0026,San Francisco,CA,"San Francisco, CA",2015,201512,42,4,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),0,0,,0,0,,Docked only,37.779,-122.4199,06075,Docked bikeshare station count if for entire system. (Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)),,,Aug-13 (Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)),,,,,,70,70,2.07591934,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),,0,,,0,,
POINT (-80.143370000387 26.122299999739),560,-80.14337,26.1223,FL0050,2021FL0050,Fort Lauderdale,FL,"Fort Lauderdale, FL",2021,202112,12,4,Broward B-cycle,0,0,,0,0,,Docked only,26.1223,-80.14337,12011,,,,Dec-11 (Broward B-cycle),,,,,,21,21,0.28180354,Broward B-cycle,,0,,,0,,
POINT (-76.886110000219 40.266300000111),349,-76.88611,40.2663,PA00180,2018PA00180,Harrisburg,PA,"Harrisburg, PA",2018,201812,122,4,Harrisburg,0,0,,0,0,,Docked only,40.2663,-76.88611,42043,,,,Oct-17 (Harrisburg),Jun-20 (Harrisburg),,,,,11,11,0.15620562,Harrisburg,,0,,,0,,
POINT (-104.984859999972 39.739199999776),281,-104.98486,39.7392,CO0042,2018CO0042,Denver,CO,"Denver, CO",2018,201812,7,4,Denver B-cycle,2,2,"Jump (acquired by Lime 05/2020), Lime",5,4,"Bird, Lime, Lyft, Razor, Spin",All micro,39.7392,-104.98486,08031,,,,Apr-10 (Denver B-cycle),Jun-20 (Denver B-cycle),"Aug-18 (Bird), Aug-18 (Lime), Sep-18 (Lyft), Oct-18 (Razor), Oct-18 (Spin)","Apr-21 (Bird), Apr-21 (Razor), Apr-21 (Spin)","Sep-18 (Jump (acquired by Lime 05/2020)), Nov-18 (Lime)",,87,87,1.23544448,Denver B-cycle,,2,"Jump (acquired by Lime 05/2020), Lime",,5,"Bird, Lime, Lyft, Razor, Spin",
POINT (-86.118920000299 39.978800000316),409,-86.11892,39.9788,IN0082,2019IN0082,Carmel,IN,"Carmel, IN",2019,201912,64,4,Carmel Bike Share,0,0,,0,0,,Docked only,39.9788,-86.11892,18057,,,,Mar-15 (Carmel Bike Share),Jun-20 (Carmel Bike Share),,,,,14,14,0.20533881,Carmel Bike Share,,0,,,0,,
POINT (-89.383760000106 43.074699999828),477,-89.38376,43.0747,WI00228,2019WI00228,Madison,WI,"Madison, WI",2019,201912,20,4,Madison B-cycle,0,0,,0,0,,Docked only,43.0747,-89.38376,55025,,,,Jun-11 (Madison B-cycle),,,,,,44,44,0.64535054,Madison B-cycle,,0,,,0,,
POINT (-104.6091399998 38.254399999991),1416,-104.60914,38.2544,CO0046,2022CO0046,Pueblo,CO,"Pueblo, CO",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,38.2544,-104.60914,08101,,,,,,Jun-21 (Bird),Jan-22 (Bird),,,0,0,,,,0,,,0,,
POINT (-87.624420000396 41.875500000056),632,-87.62442,41.8755,IL0079,2022IL0079,Chicago,IL,"Chicago, IL",2022,202212,60,4,Divvy,0,0,,4,4,"Spin, Lime, LINK, Lyft",Docked and e-scooters,41.8755,-87.62442,17031,Acquired by Lyft 07/2018 (Divvy),,"relaunched (Spin), relaunched (Lime), Relaunched as part of Divvy (Lyft)",Jun-13 (Divvy),,"Jun-22 (Spin), Aug-22 (Lime), Jun-22 (LINK), May-22 (Lyft)",,,,1367,1367,16.11648196,Divvy,,0,,,4,"Spin, Lime, LINK, Lyft",
POINT (-87.624420000396 41.875500000056),566,-87.62442,41.8755,IL0079,2021IL0079,Chicago,IL,"Chicago, IL",2021,202112,60,4,Divvy,0,0,,0,0,,Docked only,41.8755,-87.62442,17031,Acquired by Lyft 07/2018 (Divvy),,,Jun-13 (Divvy),,,,,,671,671,9.00429415,Divvy,,0,,,0,,
POINT (-79.990079999881 40.441600000216),351,-79.99008,40.4416,PA00182,2018PA00182,Pittsburgh,PA,"Pittsburgh, PA",2018,201812,29,4,Healthy Ride (became POGOH in 2022),0,0,,0,0,,Docked only,40.4416,-79.99008,42003,,,,May-01 (Healthy Ride (became POGOH in 2022)),,,,,,110,110,1.56205623,Healthy Ride (became POGOH in 2022),,0,,,0,,
POINT (-112.074140000053 33.448399999784),1292,-112.07414,33.4484,AZ006,2021AZ006,Phoenix,AZ,"Phoenix, AZ",2021,202112,,0,,0,0,,2,2,"Razor, Spin",E-scooters only,33.4484,-112.07414,04013,,,Phoenix scooter pilot ended and other vendors selected. (Razor),,,"Oct-20 (Razor), Sep-19 (Spin)",Jan-23 (Razor),,,0,0,,,,0,,,2,"Razor, Spin",
POINT (-111.926009999795 33.494200000322),1399,-111.92601,33.4942,AZ007,2022AZ007,Scottsdale,AZ,"Scottsdale, AZ",2022,202212,,0,,0,0,,3,3,"Bird, Spin, Lime",E-scooters only,33.4942,-111.92601,04013,,,,,,"May-18 (Bird), Feb-19 (Spin), Oct-22 (Lime)",,,,0,0,,,,0,,,3,"Bird, Spin, Lime",
POINT (-76.260230000198 36.896800000333),1031,-76.26023,36.8968,VA00219,2020VA00219,Norfolk,VA,"Norfolk, VA",2020,202012,,0,,1,1,Pace,1,1,Lime,Dockless and e-scooters,36.8968,-76.26023,51710,,,,,,Jun-19 (Lime),,Jul-18 (Pace),Mar-20 (Pace),0,0,,,,0,,,1,Lime,
POINT (-84.280930000148 30.437999999979),1314,-84.28093,30.438,FL0063,2021FL0063,Tallahassee,FL,"Tallahassee, FL",2021,202112,,0,,0,0,,2,2,"Spin, Veoride",E-scooters only,30.438,-84.28093,12073,,,"3-year permit began Sep-2020 (Spin), 3-year permit began Sep-2020 (Veoride)",,,"Jul-19 (Spin), Jul-19 (Veoride)",Jan-22 (Veoride),,,0,0,,,,0,,,2,"Spin, Veoride",
POINT (-98.230080000157 26.204299999989),148,-98.23008,26.2043,TX00203,2016TX00203,McAllen,TX,"McAllen, TX",2016,201612,28,4,McAllen B-cycle (RGV B-cycle),0,0,,0,0,,Docked only,26.2043,-98.23008,48215,,,,Oct-15 (McAllen B-cycle (RGV B-cycle)),,,,,,8,8,0.16386727,McAllen B-cycle (RGV B-cycle),,0,,,0,,
POINT (-98.49513999989 29.419999999784),470,-98.49514,29.42,TX00205,2019TX00205,San Antonio,TX,"San Antonio, TX",2019,201912,22,4,San Antonio B-cycle,0,0,,4,4,"Bird, Lime, Razor, Lyft",Docked and e-scooters,29.42,-98.49514,48029,,,,Mar-11 (San Antonio B-cycle),,"Jun-18 (Bird), Jul-18 (Lime), Oct-18 (Razor), Feb-19 (Lyft)","Jan-20 (Lime), Jan-22 (Razor), Nov-19 (Lyft)",,,64,64,0.9386917,San Antonio B-cycle,,0,,,4,"Bird, Lime, Razor, Lyft",
POINT (-80.308660000089 25.908699999713),919,-80.30866,25.9087,FL0056,2019FL0056,Miami Lakes,FL,"Miami Lakes, FL",2019,201912,,0,,1,1,LimeBike,0,0,,Dockless only,25.9087,-80.30866,12086,,,,,,,,Sep-18 (LimeBike),Jan-19 (LimeBike),0,0,,,,0,,,0,,
POINT (-76.610750000083 39.290800000069),209,-76.61075,39.2908,MD00117,2017MD00117,Baltimore,MD,"Baltimore, MD",2017,201712,82,4,Baltimore Bikeshare,0,0,,0,0,,Docked only,39.2908,-76.61075,24510,,,,Oct-16 (Baltimore Bikeshare),Aug-18 (Baltimore Bikeshare),,,,,14,14,0.2283105,Baltimore Bikeshare,,0,,,0,,
POINT (-97.107109999942 32.735499999652),887,-97.10711,32.7355,TX00193,2018TX00193,Arlington,TX,"Arlington, TX",2018,201812,,0,,1,1,Ofo,0,0,,Dockless only,32.7355,-97.10711,48439,,,,,,,,Nov-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-76.147419999807 43.048099999953),1111,-76.14742,43.0481,NY00254,2022NY00254,Syracuse,NY,"Syracuse, NY",2022,202212,,0,,1,1,Veo,1,1,Veo,Dockless and e-scooters,43.0481,-76.14742,36067,,,,,,Sep-21 (Veo),,Sep-21 (Veo),,0,0,,,,1,Veo,,1,Veo,
POINT (-118.396299999931 34.069000000315),158,-118.3963,34.069,CA0012,2017CA0012,Beverly Hills,CA,"Beverly Hills, CA",2017,201712,81,4,Beverly Hills Bikeshare,0,0,,0,0,,Docked only,34.069,-118.3963,06037,,,,May-16 (Beverly Hills Bikeshare),Jul-21 (Beverly Hills Bikeshare),,,,,11,11,0.17938682,Beverly Hills Bikeshare,,0,,,0,,
POINT (-96.707770000422 40.808799999897),643,-96.70777,40.8088,NE00145,2022NE00145,Lincoln,NE,"Lincoln, NE",2022,202212,120,4,BikeLNK,0,0,,2,2,"Lime, Bird",Docked and e-scooters,40.8088,-96.70777,31109,,,"16 month pilot then official program began Oct-2022 (Lime), 16 month pilot then official program began Oct-2022 (Bird)",Apr-18 (BikeLNK),,"Sep-20 (Lime), Sep-20 (Bird)",,,,21,21,0.24758312,BikeLNK,,0,,,2,"Lime, Bird",
POINT (-79.990079999881 40.441600000216),456,-79.99008,40.4416,PA00182,2019PA00182,Pittsburgh,PA,"Pittsburgh, PA",2019,201912,29,4,Healthy Ride (became POGOH in 2022),0,0,,0,0,,Docked only,40.4416,-79.99008,42003,,,,May-01 (Healthy Ride (became POGOH in 2022)),,,,,,110,110,1.61337636,Healthy Ride (became POGOH in 2022),,0,,,0,,
POINT (-78.878390000061 42.886700000141),582,-78.87839,42.8867,NY00157,2021NY00157,Buffalo,NY,"Buffalo, NY",2021,202112,76,4,Reddy Bikes,0,0,,0,0,,Docked only,42.8867,-78.87839,36029,,,,Jul-16 (Reddy Bikes),,,,,,87,87,1.16747182,Reddy Bikes,,0,,,0,,
POINT (-82.324980000302 29.651899999706),1565,-82.32498,29.6519,FL0051,2023FL0051,Gainesville,FL,"Gainesville, FL",2023,202312,,0,,0,0,,2,2,"Spin, Veo",E-scooters only,29.6519,-82.32498,12001,,,"pilot program (Spin), pilot program (Veo)",,,"Jun-21 (Spin), Jun-21 (Veo)",,,,0,0,,,,0,,,2,"Spin, Veo",
POINT (-94.818799999737 38.883799999667),1436,-94.8188,38.8838,KS0093,2022KS0093,Olathe,KS,"Olathe, KS",2022,202212,,0,,0,0,,1,1,Bird,E-scooters only,38.8838,-94.8188,20091,,,,,,Jul-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-76.492780000342 38.978000000035),949,-76.49278,38.978,MD00116,2019MD00116,Annapolis,MD,"Annapolis, MD",2019,201912,,0,,1,1,Pace,0,0,,Dockless only,38.978,-76.49278,24003,,,,,,,,Aug-18 (Pace),Jun-20 (Pace),0,0,,,,1,Pace,,0,,
POINT (-98.16239999959 26.30129999971),1618,-98.1624,26.3013,TX00197,2023TX00197,Edinburg,TX,"Edinburg, TX",2023,202312,,0,,0,0,,1,1,Lime,E-scooters only,26.3013,-98.1624,48215,,,,,,Oct-21 (Lime),,,,0,0,,,,0,,,1,Lime,
POINT (-72.505709999957 42.368499999935),636,-72.50571,42.3685,MA00249,2022MA00249,Amherst,MA,"Amherst, MA",2022,202212,139,4,ValleyBike,0,0,,0,0,,Docked only,42.3685,-72.50571,25015,"Serves Amherst, Easthampton, Holyoke, Northampton, and South Hadley, MA. Did not roll-out as expected in May 2023 due to financial issues. (ValleyBike)",,,Jun-18 (ValleyBike),Jan-22 (ValleyBike),,,,,69,0,0.81348739,,,0,,,0,,
POINT (-122.272859999666 37.870800000328),1412,-122.27286,37.8708,CA0111,2022CA0111,Berkeley,CA,"Berkeley, CA",2022,202212,,0,,0,0,,2,2,"LINK, Veo",E-scooters only,37.8708,-122.27286,06001,,,,,,"May-22 (LINK), May-22 (Veo)",Jan-22 (LINK),,,0,0,,,,0,,,1,Veo,
POINT (-74.172359999682 40.735600000278),1062,-74.17236,40.7356,NJ001510,2021NJ001510,Newark,NJ,"Newark, NJ",2021,202112,,0,,2,2,"Veo, Bird (e-bike)",2,2,"Veo, Bird",Dockless and e-scooters,40.7356,-74.17236,34013,,,,,,"Aug-21 (Veo), Jul-21 (Bird)",,"Aug-21 (Veo), Dec-21 (Bird (e-bike))",,0,0,,,,2,"Veo, Bird (e-bike)",,2,"Veo, Bird",
POINT (-92.332959999679 42.497900000115),1315,-92.33296,42.4979,IA00235,2021IA00235,Waterloo,IA,"Waterloo, IA",2021,202112,,0,,0,0,,1,1,Helbiz,E-scooters only,42.4979,-92.33296,19013,,,,,,Jul-21 (Helbiz),Jan-22 (Helbiz),,,0,0,,,,0,,,1,Helbiz,
POINT (-123.095050000247 44.050500000047),524,-123.09505,44.0505,OR00177,2020OR00177,Eugene,OR,"Eugene, OR",2020,202012,112,4,"Eugene (JUMP, operator of Eugene bikeshare, acquired by LIME 06/2020)",0,0,,0,0,,Docked only,44.0505,-123.09505,41039,,,,"Apr-18 (Eugene (JUMP, operator of Eugene bikeshare, acquired by LIME 06/2020))",,,,,,43,43,0.67599434,"Eugene (JUMP, operator of Eugene bikeshare, acquired by LIME 06/2020)",,0,,,0,,
POINT (-96.63887999971 32.912599999757),819,-96.63888,32.9126,TX00200,2017TX00200,Garland,TX,"Garland, TX",2017,201712,,0,,1,1,Vbikes,0,0,,Dockless only,32.9126,-96.63888,48113,,,,,,,,Sep-17 (Vbikes),Mar-18 (Vbikes),0,0,,,,1,Vbikes,,0,,
POINT (-75.16351999973 39.952699999956),590,-75.16352,39.9527,PA00181,2021PA00181,Philadelphia,PA,"Philadelphia, PA",2021,202112,43,4,Inde'go,0,0,,0,0,,Docked only,39.9527,-75.16352,42101,,,,Apr-15 (Inde'go),,,,,,151,151,2.02630166,Inde'go,,0,,,0,,
POINT (-90.051619999916 35.14899999987),358,-90.05162,35.149,TN00191,2018TN00191,Memphis,TN,"Memphis, TN",2018,201812,118,4,Explore,0,0,,2,2,"Bird, Lime",Docked and e-scooters,35.149,-90.05162,47157,,,,May-18 (Explore),,"Jun-18 (Bird), Oct-18 (Lime)",Oct-19 (Lime),,,73,73,1.03663732,Explore,,0,,,2,"Bird, Lime",
POINT (-110.974840000314 32.222800000302),379,-110.97484,32.2228,AZ009,2019AZ009,Tucson,AZ,"Tucson, AZ",2019,201912,110,4,tugo,0,0,,2,2,"Bird, Razor",Docked and e-scooters,32.2228,-110.97484,04019,,,,Nov-17 (tugo),,"Sep-19 (Bird), Sep-19 (Razor)","Apr-20 (Bird), Jan-22 (Razor)",,,36,36,0.52801408,tugo,,0,,,2,"Bird, Razor",
POINT (-82.398479999643 34.851300000318),247,-82.39848,34.8513,SC00185,2017SC00185,Greenville,SC,"Greenville, SC",2017,201712,44,4,Greenville B-cycle,0,0,,0,0,,Docked only,34.8513,-82.39848,45045,closed fall of 2019 then re-launched end of 2020/early 2021 (Greenville B-cycle),,,Mar-13 (Greenville B-cycle),Jan-19 (Greenville B-cycle),,,,,10,10,0.16307893,Greenville B-cycle,,0,,,0,,
POINT (-70.896719999881 42.519499999999),311,-70.89672,42.5195,MA00111,2018MA00111,Salem,MA,"Salem, MA",2018,201812,108,4,Salem,0,0,,0,0,,Docked only,42.5195,-70.89672,25009,,,,May-17 (Salem),Jun-20 (Salem),,,,,17,17,0.24140869,Salem,,0,,,0,,
POINT (-76.147419999807 43.048099999953),967,-76.14742,43.0481,NY00254,2019NY00254,Syracuse,NY,"Syracuse, NY",2019,201912,,0,,1,1,Gotcha,0,0,,Dockless only,43.0481,-76.14742,36067,,,,,,,,Jul-19 (Gotcha),Nov-20 (Gotcha),0,0,,,,1,Gotcha,,0,,
POINT (-78.639089999583 35.780300000141),430,-78.63909,35.7803,NC00142,2019NC00142,Raleigh,NC,"Raleigh, NC",2019,201912,140,4,Citrix Bikeshare (became Cardinal bikeshare in May-2022),0,0,,3,3,"Bird, Gotcha, Lime",Docked and e-scooters,35.7803,-78.63909,37183,,,,Jun-19 (Citrix Bikeshare (became Cardinal bikeshare in May-2022)),,"Jul-18 (Bird), Nov-19 (Gotcha), Sep-18 (Lime)","Mar-19 (Bird), Oct-20 (Gotcha), Mar-19 (Lime)",,,30,30,0.44001173,Citrix Bikeshare (became Cardinal bikeshare in May-2022),,0,,,1,Gotcha,
POINT (-97.107109999942 32.735499999652),818,-97.10711,32.7355,TX00193,2017TX00193,Arlington,TX,"Arlington, TX",2017,201712,,0,,1,1,Ofo,0,0,,Dockless only,32.7355,-97.10711,48439,,,,,,,,Nov-17 (Ofo),Jul-18 (Ofo),0,0,,,,1,Ofo,,0,,
POINT (-122.286520000167 37.831399999959),1549,-122.28652,37.8314,CA00161,2023CA00161,Emeryville,CA,"Emeryville, CA",2023,202312,,0,,0,0,,2,2,"Lime, Veo",E-scooters only,37.8314,-122.28652,06001,,,,,,"Aug-21 (Lime), May-22 (Veo)",,,,0,0,,,,0,,,2,"Lime, Veo",
POINT (-92.103999999787 46.720699999718),375,-92.104,46.7207,WI00230,2018WI00230,Superior,WI,"Superior, WI",2018,201812,131,3,Superior,0,0,,0,0,,Docked only,46.7207,-92.104,55031,,,,Sep-18 (Superior),Jun-20 (Superior),,,,,4,4,0.05680204,Superior,,0,,,0,,
POINT (-82.458439999931 27.946999999979),792,-82.45844,27.947,FL0064,2023FL0064,Tampa,FL,"Tampa, FL",2023,202312,33,4,Coast Bike Share,0,0,,3,3,"Jump (acquired by Lime 05/2020), Lime, Spin",Docked and e-scooters,27.947,-82.45844,12057,Dock count is from previous year,,,Dec-14 (Coast Bike Share),Jan-23 (Coast Bike Share),"Jun-19 (Jump (acquired by Lime 05/2020)), May-19 (Lime), May-19 (Spin)",,,,116,0,1.31878126,,,0,,,3,"Jump (acquired by Lime 05/2020), Lime, Spin",
POINT (-121.954430000144 37.764800000333),76,-121.95443,37.7648,CA0029,2016CA0029,San Ramon,CA,"San Ramon, CA",2016,201612,75,4,BriteBikes,0,0,,0,0,,Docked only,37.7648,-121.95443,06013,,,,Dec-14 (BriteBikes),Mar-20 (BriteBikes),,,,,17,17,0.34821794,BriteBikes,,0,,,0,,
POINT (-101.845192999976 33.584180000225),1222,-101.845193,33.58418,TX00202,2019TX00202,Lubbock,TX,"Lubbock, TX",2019,201912,,0,,0,0,,1,1,Lime,E-scooters only,33.58418,-101.845193,48303,,,,,,Nov-18 (Lime),Feb-20 (Lime),,,0,0,,,,0,,,1,Lime,
POINT (-122.339600000424 47.435100000099),1631,-122.3396,47.4351,WA00229,2023WA00229,Normandy Park,WA,"Normandy Park, WA",2023,202312,,0,,0,0,,1,1,Bird,E-scooters only,47.4351,-122.3396,53033,,,,,,Jun-22 (Bird),,,,0,0,,,,0,,,1,Bird,
POINT (-122.271349999945 37.804399999904),616,-122.27135,37.8044,CA0023,2022CA0023,Oakland,CA,"Oakland, CA",2022,202212,42,4,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),0,0,,4,4,"LINK, Veo, Lime, Veo",Docked and e-scooters,37.8044,-122.27135,06001,Docked bikeshare station count if for entire system. (Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)),,relaunched (Lime),Jun-17 (Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)),,"Nov-20 (LINK), Nov-20 (Veo), Jan-22 (Lime), May-22 (Veo)",,,,494,494,5.82409809,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019),,0,,,4,"LINK, Veo, Lime, Veo",
POINT (-92.008899999558 31.210999999946),1616,-92.0089,31.211,PR00261,2023PR00261,La Parguera,PR,"La Parguera, PR",2023,202312,,0,,0,0,,1,1,Skootel,E-scooters only,31.211,-92.0089,22009,,,,,,Jan-22 (Skootel),,,,0,0,,,,0,,,1,Skootel,
POINT (-92.916300000045 41.408000000073),848,-92.9163,41.408,IA00251,2018IA00251,Pella,IA,"Pella, IA",2018,201812,,0,,1,1,Veoride,0,0,,Dockless only,41.408,-92.9163,19125,,,,,,,,Jul-18 (Veoride),Feb-20 (Veoride),0,0,,,,1,Veoride,,0,,
POINT (-78.878390000061 42.886700000141),517,-78.87839,42.8867,NY00157,2020NY00157,Buffalo,NY,"Buffalo, NY",2020,202012,76,4,Reddy Bikes,0,0,,0,0,,Docked only,42.8867,-78.87839,36029,,,,Jul-16 (Reddy Bikes),,,,,,90,90,1.41487188,Reddy Bikes,,0,,,0,,
POINT (-71.058289999634 42.360199999732),698,-71.05829,42.3602,MA0098,2023MA0098,Boston,MA,"Boston, MA",2023,202312,1,4,Hubway (03/2018 re-launched as Blue Bikes),0,0,,0,0,,Docked only,42.3602,-71.05829,25025,,,,Jul-11 (Hubway (03/2018 re-launched as Blue Bikes)),,,,,,462,462,5.25238745,Hubway (03/2018 re-launched as Blue Bikes),,0,,,0,,
POINT (-115.148509999963 36.167200000051),646,-115.14851,36.1672,NV00154,2022NV00154,Las Vegas,NV,"Las Vegas, NV",2022,202212,78,4,RTC Bikeshare,0,0,,0,0,,Docked only,36.1672,-115.14851,32003,,,,Oct-16 (RTC Bikeshare),,,,,,22,22,0.25937279,RTC Bikeshare,,0,,,0,,
POINT (-78.639089999583 35.780300000141),701,-78.63909,35.7803,NC00142,2023NC00142,Raleigh,NC,"Raleigh, NC",2023,202312,140,4,Citrix Bikeshare (became Cardinal bikeshare in May-2022),0,0,,2,2,"Lime, Spin",Docked and e-scooters,35.7803,-78.63909,37183,,,relaunched (Lime),Jun-19 (Citrix Bikeshare (became Cardinal bikeshare in May-2022)),,"May-21 (Lime), May-21 (Spin)",,,,30,30,0.34106412,Citrix Bikeshare (became Cardinal bikeshare in May-2022),,0,,,2,"Lime, Spin",
POINT (-93.604660000202 41.591000000064),296,-93.60466,41.591,IA0073,2018IA0073,Des Moines,IA,"Des Moines, IA",2018,201812,14,4,Des Moines B-cycle,0,0,,0,0,,Docked only,41.591,-93.60466,19153,,,,Sep-10 (Des Moines B-cycle),,,,,,22,22,0.31241125,Des Moines B-cycle,,0,,,0,,
POINT (-78.900909999767 35.99699999984),1342,-78.90091,35.997,NC00140,2021NC00140,Durham,NC,"Durham, NC",2021,202112,,0,,0,0,,5,4,"Bird, Blue Duck, Bolt, Helbiz, Spin",E-scooters only,35.997,-78.90091,37063,,,,,,"Jun-19 (Bird), Dec-21 (Blue Duck), Jul-20 (Bolt), Sep-21 (Helbiz), Jun-19 (Spin)","Dec-21 (Blue Duck), Jul-22 (Bolt), Jan-22 (Helbiz)",,,0,0,,,,0,,,5,"Bird, Blue Duck, Bolt, Helbiz, Spin",
POINT (-122.871859999799 42.326400000156),49,-122.87186,42.3264,OR00178,2015OR00178,Medford,OR,"Medford, OR",2015,201512,68,4,Zagster Jackson County,0,0,,0,0,,Docked only,42.3264,-122.87186,41029,,,,Jul-15 (Zagster Jackson County),Jun-20 (Zagster Jackson County),,,,,6,6,0.17793594,Zagster Jackson County,,0,,,0,,
